metabolism	KEGG pathways
arginine and proline metabolism	sce00330
exchange reaction	
Transport[c, n]	
exchange reaction	
Transport[c, n]	
exchange reaction	
Transport[e, c]	
exchange reaction	
exchange reaction	
Transport[m, c]	
exchange reaction	
exchange reaction	
Transport[e, c]	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[c, m]	
exchange reaction	
Transport[c, er]	
Transport[e, c]	
exchange reaction	
Transport[e, c]	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[c, m]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[p, c]	
exchange reaction	
Transport[c, er]	
Transport[m, c]	
propanoate metabolism	sce00640
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
exchange reaction	
exchange reaction	
Transport[c, er]	
Transport[c, er]	
Transport[c, m]	
Transport[c, n]	
exchange reaction	
exchange reaction	
Transport[c, n]	
Transport[c, p]	
Transport[e, c]	
purine metabolism	sce00230
purine metabolism	sce00230
Transport[c, m]	
Transport[c, er]	
Transport[c, m]	
Transport[e, c]	
Transport[c, p]	
Transport[e, c]	
exchange reaction	
exchange reaction	
Transport[c, e]	
exchange reaction	
Transport[e, c]	
Transport[c, p]	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[c, er]	
Transport[c, m]	
pantothenate and coa biosynthesis	sce00770
Transport[e, c]	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[c, e]	
Transport[c, m]	
Transport[c, m]	
exchange reaction	
Transport[c, v]	
exchange reaction	
Transport[c, m]	
Transport[c, m]	
exchange reaction	
vitamin b6 metabolism	sce00750
vitamin b6 metabolism	sce00750
vitamin b6 metabolism	sce00750
exchange reaction	
riboflavin metabolism	sce00740
pyrimidine metabolism	sce00240
Transport[c, m]	
exchange reaction	
Transport[c, m]	
Transport[c, p]	
exchange reaction	
Transport[c, m]	
Transport[e, c]	
Transport[e, c]	
Transport[c, m]	
exchange reaction	
exchange reaction	
Transport[c, m]	
exchange reaction	
exchange reaction	
arginine and proline metabolism	sce00330
exchange reaction	
exchange reaction	
Transport[c, er]	
Transport[er, c]	
exchange reaction	
exchange reaction	
Transport[e, c]	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[c, er]	
thiamine metabolism	sce00730
thiamine metabolism	sce00730
exchange reaction	
exchange reaction	
exchange reaction	
thiamine metabolism	sce00730
other	
other	
Transport[c, m]	
exchange reaction	
pyrimidine metabolism	sce00240
Transport[e, c]	
Transport[c, v]	
Transport[c, m]	
exchange reaction	
Transport[c, e]	
Transport[c, m]	
Transport[c, m]	
Transport[c, p]	
Transport[c, n]	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[c, m]	
Transport[c, er]	
Transport[c, g]	
Transport[c, m]	
Transport[c, n]	
Transport[c, p]	
Transport[c, v]	
exchange reaction	
Transport[e, c]	
exchange reaction	
Transport[e, c]	
exchange reaction	
Transport[e, c]	
exchange reaction	
Transport[ce, c]	
growth	
exchange reaction	
Transport[c, lp]	
Transport[c, m]	
exchange reaction	
Transport[e, c]	
exchange reaction	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
exchange reaction	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[c, erm]	
Transport[erm, c]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[c, lp]	
Transport[lp, c]	
Transport[lp, c]	
Transport[lp, c]	
Transport[lp, c]	
Transport[c, ce]	
Transport[c, ce]	
Transport[c, ce]	
Transport[c, ce]	
Transport[c, ce]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[ce, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[n, c]	
Transport[c, vm]	
Transport[c, vm]	
Transport[c, vm]	
Transport[c, vm]	
Transport[c, vm]	
Transport[c, vm]	
Transport[vm, c]	
Transport[vm, c]	
Transport[vm, c]	
Transport[vm, c]	
Transport[vm, c]	
Transport[vm, c]	
Transport[vm, c]	
Transport[vm, c]	
Transport[c, gm]	
Transport[c, gm]	
Transport[c, gm]	
Transport[c, gm]	
Transport[c, gm]	
Transport[c, gm]	
Transport[c, mm]	
Transport[c, mm]	
Transport[c, mm]	
Transport[c, mm]	
Transport[mm, c]	
Transport[mm, c]	
Transport[mm, c]	
Transport[mm, c]	
Transport[mm, c]	
Transport[mm, c]	
Transport[mm, c]	
Transport[mm, c]	
Transport[mm, c]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[erm, lp]	
Transport[lp, erm]	
Transport[lp, erm]	
Transport[lp, erm]	
Transport[lp, erm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[mm, erm]	
Transport[mm, erm]	
Transport[mm, erm]	
Transport[mm, erm]	
Transport[mm, erm]	
Transport[mm, erm]	
Transport[mm, erm]	
Transport[mm, erm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, mm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[erm, gm]	
Transport[gm, erm]	
Transport[gm, erm]	
Transport[gm, erm]	
Transport[gm, erm]	
Transport[gm, erm]	
Transport[gm, erm]	
Transport[gm, erm]	
Transport[gm, erm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[erm, vm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[vm, erm]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[ce, erm]	
Transport[erm, ce]	
Transport[erm, ce]	
Transport[erm, n]	
Transport[erm, n]	
Transport[erm, n]	
Transport[erm, n]	
Transport[erm, n]	
Transport[erm, n]	
Transport[erm, n]	
Transport[erm, n]	
Transport[erm, er]	
Transport[erm, er]	
Transport[er, erm]	
Transport[er, erm]	
Transport[vm, gm]	
Transport[vm, gm]	
Transport[vm, gm]	
Transport[vm, gm]	
Transport[vm, gm]	
Transport[vm, gm]	
Transport[vm, gm]	
Transport[vm, gm]	
Transport[vm, ce]	
Transport[vm, ce]	
Transport[vm, ce]	
Transport[vm, ce]	
Transport[vm, ce]	
Transport[vm, ce]	
Transport[vm, ce]	
Transport[vm, ce]	
Transport[m, mm]	
Transport[m, mm]	
Transport[m, mm]	
Transport[m, mm]	
Transport[m, mm]	
Transport[m, mm]	
Transport[erm, c]	
Transport[erm, c]	
Transport[erm, c]	
Transport[erm, c]	
Transport[erm, c]	
Transport[m, c]	
exchange reaction	
exchange reaction	
growth	
None	
growth	
growth	
growth	
growth	
Transport[g, c]	
Transport[g, c]	
Transport[g, c]	
Transport[g, c]	
Transport[er, c]	
Transport[er, c]	
Transport[erm, c]	
Transport[erm, c]	
Transport[erm, c]	
Transport[mm, c]	
Transport[mm, c]	
exchange reaction	
slime reaction	
exchange reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
porphyrin and chlorophyll metabolism	sce00860
butanoate metabolism	sce00650
butanoate metabolism	sce00650
aminoacyl-trna biosynthesis	sce00970
other	
other	
none	
n-glycan biosynthesis	sce00510
purine metabolism	sce00230
Transport[v, c]	
Transport[v, c]	
Transport[v, c]	
glyoxylate and dicarboxylate metabolism	sce00630
n-glycan biosynthesis	sce00510
n-glycan biosynthesis	sce00510
Transport[v, c]	
Transport[c, v]	
Transport[c, v]	
n-glycan biosynthesis	sce00510
glutathione metabolism	sce00480
Transport[c, e]	
thiamine metabolism	sce00730
Transport[er, erm]	
methylglyoxal metabolism	
methylglyoxal metabolism	
methylglyoxal metabolism	
methylglyoxal metabolism	
methylglyoxal metabolism	
methylglyoxal metabolism	
Transport[c, er]	
fructose and mannose metabolism	sce00051
c5-branched dibasic acid metabolism	sce00660
pyruvate metabolism	sce00620
cysteine and methionine metabolism	sce00270
aminoacyl-trna biosynthesis	sce00970
glutathione metabolism	sce00480
folate biosynthesis	sce00790
other	
alternate carbon metabolism	
lysine metabolism	
lysine metabolism	
Transport[c, er]	
Transport[m, v]	
amino sugar and nucleotide sugar metabolism	sce00520
amino sugar and nucleotide sugar metabolism	sce00520
other	
glutathione metabolism	sce00480
glutathione metabolism	sce00480
glutathione metabolism	sce00480
cysteine and methionine metabolism	sce00270
other	
other	
glutathione metabolism	sce00480
none	
glutathione metabolism	sce00480
glutathione metabolism	sce00480
glutathione metabolism	sce00480
other	
vitamin b6 metabolism	sce00750
vitamin b6 metabolism	sce00750
glutathione metabolism	sce00480
glutathione metabolism	sce00480
riboflavin metabolism	sce00740
porphyrin and chlorophyll metabolism	sce00860
none	
none	
other	
pentose and glucuronate interconversions	sce00040
galactose metabolism	sce00052
valine, leucine and isoleucine metabolism	
Transport[c, e]	
Transport[c, e]	
alanine, aspartate and glutamate metabolism	sce00250
phenylalanine metabolism	sce00360
tryptophan metabolism	sce00380
other	
other	
pentose phosphate pathway	sce00030
terpenoid backbone biosynthesis	sce00900
glycosylphosphatidylinositol (gpi)-anchor biosynthesis	sce00563
pyruvate metabolism	sce00620
Transport[v, c]	
Transport[g, c]	
none	
n-glycan biosynthesis	sce00510
n-glycan biosynthesis	sce00510
other	
n-glycan biosynthesis	sce00510
n-glycan biosynthesis	sce00510
other	
other	
none	
glycine, serine and threonine metabolism	sce00260
cysteine and methionine metabolism	sce00270
n-glycan biosynthesis	sce00510
glycerophospholipid metabolism	sce00564
thiamine metabolism	sce00730
n-glycan biosynthesis	sce00510
nitrogen metabolism	sce00910
nitrogen metabolism	sce00910
lipoic acid metabolism	sce00785
lipoic acid metabolism	sce00785
other	
other	
lysine metabolism	
Transport[g, c]	
other	
purine metabolism	sce00230
purine metabolism	sce00230
purine metabolism	sce00230
purine metabolism	sce00230
purine metabolism	sce00230
other	
n-glycan biosynthesis	sce00510
n-glycan biosynthesis	sce00510
nitrogen metabolism	sce00910
cysteine and methionine metabolism	sce00270
other	
none	
glycerolipid metabolism	sce00561
other	
none	
lipoic acid metabolism	sce00785
lipoic acid metabolism	sce00785
fructose and mannose metabolism	sce00051
glycolysis / gluconeogenesis	sce00010
glycolysis / gluconeogenesis	sce00010
glycolysis / gluconeogenesis	sce00010
glycolysis / gluconeogenesis	sce00010
glycolysis / gluconeogenesis	sce00010
glycolysis / gluconeogenesis	sce00010
glycerolipid metabolism	sce00561
arginine and proline metabolism	sce00330
arginine and proline metabolism	sce00330
tryptophan metabolism	sce00380
none	
other	
lysine metabolism	
valine, leucine and isoleucine metabolism	
histidine metabolism	sce00340
none	
tryptophan metabolism	sce00380
arginine and proline metabolism	sce00330
chloroalkane and chloroalkene degradation	sce00625
chloroalkane and chloroalkene degradation	sce00625
chloroalkane and chloroalkene degradation	sce00625
other	
other	
Transport[erm, gm]	
glycerophospholipid metabolism	sce00564
n-glycan biosynthesis	sce00510
n-glycan biosynthesis	sce00510
histidine metabolism	sce00340
n-glycan biosynthesis	sce00510
n-glycan biosynthesis	sce00510
glyoxylate and dicarboxylate metabolism	sce00630
n-glycan biosynthesis	sce00510
starch and sucrose metabolism	sce00500
starch and sucrose metabolism	sce00500
starch and sucrose metabolism	sce00500
n-glycan biosynthesis	sce00510
n-glycan biosynthesis	sce00510
glycosylphosphatidylinositol (gpi)-anchor biosynthesis	sce00563
lipoic acid metabolism	sce00785
lipoic acid metabolism	sce00785
other	
sulfur metabolism	sce00920
Transport[c, m]	
n-glycan biosynthesis	sce00510
Transport[c, er]	
vitamin b6 metabolism	sce00750
amino sugar and nucleotide sugar metabolism	sce00520
Transport[c, e]	
purine metabolism	sce00230
Transport[c, g]	
other	
alanine, aspartate and glutamate metabolism	sce00250
Transport[m, c]	
starch and sucrose metabolism	sce00500
Transport[er, g]	
phenylalanine metabolism	sce00360
Transport[e, c]	
none	
Transport[e, c]	
none	
none	
Transport[e, c]	
purine metabolism	sce00230
Transport[e, c]	
Transport[e, c]	
glyoxylate and dicarboxylate metabolism	sce00630
none	
Transport[e, c]	
other	
other	
cysteine and methionine metabolism	sce00270
Transport[e, c]	
none	
Transport[e, c]	
pyrimidine metabolism	sce00240
Transport[e, c]	
Transport[e, c]	
other	
arginine and proline metabolism	sce00330
Transport[e, c]	
Transport[e, c]	
arginine and proline metabolism	sce00330
Transport[e, c]	
none	
Transport[e, c]	
none	
Transport[e, c]	
none	
Transport[e, c]	
cysteine and methionine metabolism	sce00270
Transport[e, c]	
purine metabolism	sce00230
Transport[e, c]	
starch and sucrose metabolism	sce00500
Transport[e, c]	
cysteine and methionine metabolism	sce00270
Transport[e, c]	
other	
Transport[e, c]	
none	
Transport[e, c]	
other	
Transport[e, c]	
none	
Transport[e, c]	
alternate carbon metabolism	
Transport[c, e]	
Transport[e, c]	
galactose metabolism	sce00052
galactose metabolism	sce00052
Transport[e, c]	
butanoate metabolism	sce00650
cysteine and methionine metabolism	sce00270
Transport[e, c]	
Transport[c, v]	
starch and sucrose metabolism	sce00500
Transport[c, v]	
Transport[e, c]	
purine metabolism	sce00230
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
glycine, serine and threonine metabolism	sce00260
Transport[e, c]	
other	
glyoxylate and dicarboxylate metabolism	sce00630
cysteine and methionine metabolism	sce00270
purine metabolism	sce00230
none	
other	
other	
other	
other	
none	
Transport[e, c]	
none	
Transport[e, c]	
Transport[e, c]	
Transport[c, v]	
Transport[e, c]	
Transport[c, v]	
Transport[c, v]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[c, v]	
Transport[c, v]	
none	
Transport[e, c]	
Transport[e, c]	
glycerolipid metabolism	sce00561
none	
Transport[e, c]	
Transport[c, v]	
other	
Transport[c, v]	
Transport[c, v]	
exchange reaction	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[c, v]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[c, v]	
Transport[e, c]	
Transport[c, v]	
Transport[e, c]	
Transport[c, m]	
Transport[e, c]	
Transport[e, c]	
Transport[c, v]	
Transport[e, c]	
sulfur metabolism	sce00920
Transport[c, v]	
Transport[c, v]	
cysteine and methionine metabolism	sce00270
tyrosine metabolism	sce00350
tyrosine metabolism	sce00350
tyrosine metabolism	sce00350
tyrosine metabolism	sce00350
pentose and glucuronate interconversions	sce00040
pentose and glucuronate interconversions	sce00040
other	
pentose and glucuronate interconversions	sce00040
Transport[e, c]	
exchange reaction	
none	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
pentose phosphate pathway	sce00030
none	
phenylalanine metabolism	sce00360
other	
glycine, serine and threonine metabolism	sce00260
none	
beta-alanine metabolism	sce00410
beta-alanine metabolism	sce00410
beta-alanine metabolism	sce00410
chloroalkane and chloroalkene degradation	sce00625
valine, leucine and isoleucine metabolism	
none	
none	
valine, leucine and isoleucine metabolism	
none	
valine, leucine and isoleucine metabolism	
glyoxylate and dicarboxylate metabolism	sce00630
biosynthesis of unsaturated fatty acids	sce01040
fatty acid biosynthesis	sce00061
galactose metabolism	sce00052
galactose metabolism	sce00052
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Exchange reaction	
Exchange reaction	
Exchange reaction	
Exchange reaction	
Exchange reaction	
growth	
growth	
Exchange reaction	
Transport[c, p]	
Transport[c, er]	
Transport[c, n]	
Transport[c, lp]	
Transport[c, m]	
Transport[c, er]	
Transport[c, g]	
Transport[c, m]	
Transport[c, g]	
Transport[c, n]	
Transport[c, g]	
Transport[c, n]	
Transport[c, m]	
Transport[c, n]	
Transport[c, m]	
Transport[c, er]	
Transport[c, n]	
Transport[c, er]	
Transport[c, v]	
Transport[c, v]	
Transport[c, m]	
Transport[c, m]	
Transport[c, m]	
Transport[c, erm]	
Transport[c, m]	
Transport[c, m]	
Transport[c, er]	
Transport[c, g]	
FA ester pathway	
FA ester pathway	
FA ester pathway	
FA ester pathway	
FA ester pathway	
Transport[m, c]	
Transport[m, c]	
Transport[m, c]	
Transport[m, c]	
Transport[m, c]	
Transport[c, e]	
Transport[c, e]	
Transport[c, e]	
Transport[c, e]	
Transport[c, e]	
Exchange reaction	
Exchange reaction	
Exchange reaction	
Exchange reaction	
Exchange reaction	
FA ester pathway	
Transport[m, c]	
FA ester pathway	
FA ester pathway	
FA ester pathway	
FA ester pathway	
Transport[m, c]	
Transport[c, e]	
Transport[c, e]	
Exchange reaction	
Exchange reaction	
FA ester pathway	
FA ester pathway	
FA ester pathway	
FA ester pathway	
Transport[m, c]	
Transport[c, e]	
Transport[c, e]	
Exchange reaction	
Exchange reaction	
FA ester pathway	
FA ester pathway	
FA ester pathway	
FA ester pathway	
Transport[m, c]	
Transport[c, e]	
Transport[c, e]	
Exchange reaction	
Exchange reaction	
